Date,Rating,Title,Content,Pros,Cons
2018-02-01,1,"Bad management in veronaCasting Operator (Former Employee) - Verona, VA - February 1, 2018Micromanage everything.","No minorities in management. Managers yell at people and one manager said ""its not ok for people to make mistakes."" Infighting between production and maintenance stay away if you have a choice.",None since rhe good plant manager left.,The new plant manager.
2018-01-30,2,"Great company, bad management in VeronaProduction Supervisor (Former Employee) - Verona, VA - January 30, 2018The plant manager is a tyrant and many of his staff are referred to as puppets by the hourly folks.","Micro-management is an overwhelming understatement to describe the practices. Supervisors have to send an update to the production manager mid-shift then have to field calls from the plant manager a little closer to the end of the shift. Just to let them know what’s going on. Even though both will be in to the plant in a couple hours. No minorities in management at this plant. Most hourly folks are looking for other employment. They did just increase starting pay but still well below at least 15 other facilities in the area. Unless you have no choice, stay away from this place.",None with current management,Current management
2018-01-30,4,Experience was life changingSr.,"Acoounting Manager (Former Employee) - Atlanta, GA - January 30, 2018I was fortunate enough to be chosen as part of the team to start a new plastics division from ground zero.  What  learned about installing new systems and software implementation was priceless.",The opportunites,Moved back to Colorado
2018-01-29,3,"Typical Manufacturing environmentProduction Line Maintainer (Current Employee) - Milwaukee, WI - January 29, 2018As is the course for American Manufacturing the focus has shifted from customer satisfaction to profit for shareholders.",A slippery slope to be on....,The Milwaukee plant has many good people working at it.,
2018-01-29,5,"Ball is a hidden gem in plain sightDirector of Sales (Former Employee) - Broomfield, CO - January 29, 2018Great company with a great history and great culture.",The global leader in the beverage can market.  Wide range of customer from startups to multinational corporations. Wide variety of career paths are available for those that want to get ahead.  A big shift in the focus on diversity and inclusion have made it even better.,"Challenging work environment, great people, fun market","As the leader, you’re the target."
2018-01-29,5,"Loved itProduction/Inspector (Former Employee) - Salisbury, NC - January 29, 2018I ran a sorter, palletizer, bright stacker.","I also worked part-time in electrical maintenance as a helper.I loved working here. If the company had not closed, I might still be working here!",The people and the job were great!,none
2018-01-25,3,"Solid companyProduction Manager (Former Employee) - Springdale, AR - January 25, 2018Old company with futuristic ideas.","The beverage and the aerospace divisions will continue to grow and sustain the companies growth. Unfortunately, they missed opportunities in the food and aerosol division and are being out performed by their competitors.",Large corporation,Dying divisions
2018-01-22,4,"Positive ChangesAnonymous (Current Employee) - Verona, VA - January 22, 2018I wrote this review because there has been very important positive changes in the last 2 years that have improved attitudes in the plant, most importantly in the last few months, but there are still improvements that can be made.","Examples are 2 new hired supervisors, Maintenance and Production both have improved their departments with their attitude and leadership abilities. Pay has increased and has become more competitive with other companies in our area. This is a job that if you're dedicated and hard working you'll be noticed and valued and have a potential to grow within the company. The work can be hard and dirty since we are a foundry but if you have skills and are just starting out or tired of feeling like a number, give this place a try.",,
2018-01-18,5,"Fast PacedPreventative Maintenance Supervisor (Former Employee) - Weirton, WV - January 18, 2018Ball was a great company to work for.",IT was a fast paced job. Pay and benefits were good.The only reason for leaving Ball was because of them closing our plant.,money and benefits,non
2018-01-18,4,"Decent pay, decent job, too many hoursProduction Worker (Former Employee) - Monticello, IN - January 18, 2018This is not a bad place to work, but the hours are demanding.",12+ hour days and a rotating schedule of days to nights every 9 weeks. It is very difficult to keep adjusting.,Pay and benefits,"Hours, shift changes"
2018-01-17,5,"Family Friendly working environmentPress Operator (Former Employee) - Springdale, AR - January 17, 2018Ball Corp is a great place to work.",Managers down to the lowest level communicates and cooperates well with other. SAFETY is ALWAYS FIRST at Ball Corp.,Family Friendly Working Environment,None
2018-01-17,1,"Good place to work but bad managementMaintainer (Former Employee) - Monticello, IN - January 17, 2018Was a good company to work for until there current plant manager came and brought all his buddies with him from plants that where shut down.",Watch your back alot of back stabbers and snakes / an don't ever do something wrong and get a last chance agreement cause if you do something wrong 5 years later you'll be fired,"fellow workers, pay","Heat, low morale, poor management, last chance agreements"
